@relation PE
@attribute height numeric
@attribute weight numeric
@attribute fhl numeric
@attribute fiftyMeter numeric
@attribute zwtqq numeric
@attribute ytxs numeric
@attribute yqmp numeric
@attribute ldty numeric

@DATA
168.2,50.5,3792,7.6,15.9,6,278,250
165.4,52.0,4129,7.5,17.7,6,292,246
182.9,63.6,4289,7.7,9.0,6,247,213
177.8,73.6,5054,7.3,7.9,6,232,229
177.0,102.4,5770,8.1,7.6,6,264,189
168.5,78.9,5110,7.9,28.1,6,242,228
163.6,47.3,3311,7.8,23.8,6,214,197
172.7,63.1,4485,7.7,14.1,6,345,197
166.8,62.6,4097,8.3,5.6,6,321,189
178.0,74.7,4616,8.0,15.9,6,231,221
167.5,62.0,3880,8.3,-1.4,1,304,190
181.5,61.0,3739,8.0,16.4,4,273,221
166.5,49.6,3600,8.2,26.7,5,264,226
181.5,66.1,5011,7.8,19.5,2,260,240
171.4,66.1,3524,8.1,26.4,2,259,234
175.5,59.0,5200,7.9,22.1,7,272,205
168.8,63.2,3996,8.1,26.3,5,271,209
163.5,53.9,3324,7.6,21.4,6,233,219
175.4,51.1,5387,7.7,16.8,6,241,251
175.6,54.8,4332,8.0,12.6,6,230,234
165.0,56.3,4197,7.4,18.2,6,239,219
171.9,60.0,4165,7.5,10.5,6,251,222
171.9,52.3,3791,7.5,18.6,6,225,253
168.7,61.2,4316,7.8,30.9,5,250,216
172.3,63.2,4762,7.6,13.8,1,259,229
172.1,65.9,5413,8.2,12.0,2,258,177
165.2,53.8,4372,7.5,10.6,5,280,221
177.1,71.8,4419,7.6,18.8,14,217,216
166.3,52.3,4481,7.3,16.9,11,244,209
174.8,62.2,4539,8.1,15.0,3,247,199
169.7,61.3,4770,7.9,24.9,6,236,213
159.4,47.0,3051,8.0,25.0,8,238,169
174.0,70.0,4134,7.4,6.6,4,223,232
171.2,56.6,3344,7.3,10.2,8,238,228
163.0,51.0,4058,8.0,19.3,6,229,207
167.3,70.8,5305,8.9,7.6,6,299,150
171.5,52.5,5034,7.9,24.1,10,227,200
171.9,54.5,4760,7.7,10.2,5,293,203
185.4,74.1,4908,7.4,11.3,7,222,225
173.4,61.8,4169,7.4,13.0,4,256,236
173.8,59.1,4222,7.4,15.2,12,201,261
164.7,51.8,3451,6.8,19.2,18,214,237
177.5,62.5,4896,7.1,18.4,15,249,252
175.1,56.2,3480,7.4,11.8,6,224,240
158.7,47.1,3491,7.6,10.9,10,281,208
176.9,66.5,5352,6.8,16.2,13,230,280
169.8,58.6,4134,7.8,15.1,10,220,221
183.7,70.7,4400,7.2,21.0,11,187,245
162.5,52.1,4787,7.0,22.4,6,234,236
180.6,61.8,3767,7.3,18.0,6,211,252
156.7,50.1,3802,7.4,21.7,6,237,229
175.6,56.8,4264,9.8,20.7,9,232,216
177.8,60.7,4245,8.5,13.5,3,270,170
177.7,74.8,4063,8.1,4.0,3,249,171
169.4,88.4,3828,8.5,9.6,1,261,210
175.4,69.9,4801,7.6,16.5,7,210,190
174.7,56.3,3285,7.2,10.3,11,232,216
167.9,66.6,4625,7.5,18.5,11,226,224
181.4,69.9,4153,7.8,23.0,9,264,187
182.7,85.2,4147,7.5,20.0,9,235,234
166.0,56.8,3802,7.7,12.7,3,241,220
181.7,93.1,4618,7.7,17.5,1,264,212
167.9,58.3,4707,7.7,10.5,3,271,213
173.3,64.2,3524,8.0,20.6,8,344,189
171.0,68.7,4676,7.6,22.7,13,217,213
170.1,78.9,4004,7.4,15.0,5,254,213
169.0,62.2,4730,7.7,-9.0,6,222,224
180.2,62.3,4031,7.9,9.0,5,234,229
162.3,55.3,3117,7.0,10.5,11,220,237
177.9,57.3,3649,9.8,5.0,9,253,224
171.4,65.6,3688,7.5,22.7,13,247,231
161.4,52.2,2889,7.5,14.0,6,238,206
168.7,61.8,4469,8.3,13.8,1,261,191
178.9,75.5,5401,7.1,27.8,6,232,237
164.3,59.2,3749,7.7,21.7,12,248,221
163.2,58.7,4600,7.2,25.9,10,218,223
168.3,65.3,3497,8.1,15.1,4,268,217
178.4,61.3,4777,8.2,21.3,2,311,233
173.1,58.7,3182,8.2,11.8,5,283,212
163.7,53.5,4135,7.4,11.9,5,260,212
174.3,61.9,4066,8.0,28.0,13,249,227
174.2,64.6,3612,8.0,22.9,8,272,230
162.0,53.4,3910,7.7,10.4,5,293,221
162.7,51.3,5100,7.8,22.4,12,242,218
176.6,56.4,4779,8.3,22.7,10,254,225
180.2,71.7,3671,7.3,12.5,8,255,263
167.7,83.0,5508,7.9,17.1,6,241,198
164.4,42.7,3542,8.4,12.4,7,264,221
175.9,77.9,4724,8.2,26.2,1,267,230
167.9,49.6,5082,7.7,18.5,6,241,243
164.3,52.3,4267,8.4,34.9,6,374,215
166.7,63.3,4928,7.9,17.5,6,240,215
162.8,45.6,3680,8.1,7.9,9,332,192
175.8,78.9,2512,8.4,18.0,18,283,197
173.7,66.9,4398,7.3,24.7,10,236,229
175.4,73.8,4077,8.0,10.9,2,278,224
174.9,59.8,4531,7.1,18.6,6,219,231
173.8,65.2,4400,7.0,11.3,6,222,227
176.6,57.9,5603,7.4,0.2,6,271,243
180.0,66.9,4610,7.5,13.7,6,243,192
173.9,54.7,4122,7.2,17.0,6,248,248
171.7,60.2,4057,7.6,5.8,6,313,203
175.1,59.6,4213,7.9,16.7,5,252,197
167.2,45.8,4152,7.3,6.5,14,240,243
171.3,65.9,3820,7.5,9.7,12,252,241
173.3,60.5,4856,7.7,10.2,12,245,220
150.4,46.3,4209,7.3,19.4,11,242,229
178.5,57.6,4767,7.2,10.2,6,228,244
177.5,80.5,5139,8.3,11.1,6,250,163
177.0,66.6,5251,7.8,16.6,5,264,216
178.8,70.0,4063,7.1,29.0,6,239,237
172.4,63.7,3573,7.8,7.6,6,304,219
167.9,68.8,5535,7.2,21.8,6,244,218
174.5,67.2,4255,7.3,16.2,18,228,240
174.8,59.5,2771,7.6,4.8,4,293,221
173.1,59.4,3494,7.8,0.3,7,291,215
171.0,58.2,3724,8.2,17.8,4,250,189
178.3,70.8,4500,7.9,12.9,12,251,221
168.9,65.0,3923,7.2,27.0,15,201,232
172.3,61.7,4321,7.0,26.9,13,248,234
170.9,77.5,5549,8.2,25.4,6,312,200
166.0,57.4,4333,8.0,15.7,3,287,205
188.8,89.8,5550,7.7,15.3,2,270,242
165.7,55.2,1592,7.4,6.6,6,232,205
174.7,55.6,3183,6.8,11.1,7,235,230
186.9,88.6,4087,7.1,20.8,6,233,229
176.3,61.3,4309,7.7,16.6,6,227,221
165.9,67.1,4217,7.4,16.5,6,232,221
168.9,64.0,4749,7.5,17.6,6,241,242
184.6,72.0,5874,7.8,19.1,5,244,247
173.1,61.8,4830,7.7,22.7,3,236,209
166.9,60.1,5038,7.7,14.1,3,281,213
169.5,69.8,4659,7.1,23.4,4,234,229
163.6,50.1,2645,9.2,14.7,6,254,181
191.6,62.9,4551,7.7,-9.6,8,307,229
177.6,56.3,3705,7.7,16.3,6,259,213
167.6,51.3,3706,7.2,29.7,6,229,260
162.6,57.1,3430,8.6,4.9,6,339,174
177.7,69.7,3829,7.4,15.3,6,256,205
163.8,66.0,5021,7.4,16.4,6,224,210
172.2,48.7,3059,7.6,14.6,9,399,221
184.0,62.7,3818,6.9,12.4,6,236,245
174.5,74.3,4494,8.1,17.0,6,258,218
168.1,60.0,4552,6.7,14.7,6,171,262
176.8,62.5,5014,7.1,16.9,20,224,202
174.7,54.5,1928,8.7,10.5,5,242,176
164.8,50.4,3637,6.6,11.0,7,217,219
182.2,76.9,5566,8.8,16.6,11,208,185
175.2,62.0,5365,7.7,14.2,6,246,220
166.9,46.1,3663,7.8,19.6,6,270,219
166.0,54.2,3478,7.9,12.9,6,216,205
171.7,52.1,3472,7.8,17.4,6,260,241
169.6,66.5,3673,8.3,11.3,6,276,199
176.4,60.8,3814,7.3,10.1,6,293,254
166.6,58.6,5397,7.4,16.3,6,296,220
176.3,57.6,3723,7.2,13.1,5,235,216
165.4,49.6,5369,7.7,6.6,6,242,211
167.5,52.5,2136,7.6,3.8,6,277,210
169.4,66.5,5195,8.1,20.7,6,269,209
173.1,76.2,4171,6.9,8.1,6,253,255
168.8,64.2,4529,7.1,7.6,6,261,219
172.5,56.4,4547,7.4,31.1,6,240,233
163.9,55.7,3405,7.0,5.6,6,231,221
176.0,57.8,4052,6.7,12.2,6,246,256
168.3,61.3,5739,7.1,7.2,6,202,243
166.5,56.5,4366,7.8,17.7,6,274,186
167.2,68.1,4946,8.0,10.6,6,243,221
176.0,89.4,4919,7.9,14.4,6,257,223
165.0,70.0,4284,8.4,16.4,6,289,174
172.7,63.9,4785,7.4,20.7,6,255,222
180.3,79.0,4884,6.6,16.3,6,226,245
173.0,59.7,5195,7.4,12.9,6,216,218
176.9,56.8,4465,7.8,12.0,6,256,250
160.2,54.0,5258,7.4,21.9,6,252,236
159.5,63.6,3145,8.0,20.9,6,298,181
173.0,58.7,3547,7.2,7.7,6,265,237
175.2,64.6,4133,7.0,12.4,6,202,210
160.6,54.7,4668,7.6,6.3,6,321,245
174.6,72.6,5524,7.7,6.9,6,240,197
175.7,68.2,4728,8.5,11.1,6,287,196
172.3,62.6,4779,8.6,5.2,6,336,170
170.8,60.2,5109,7.7,26.7,6,228,200
168.0,54.4,3285,7.4,2.6,6,223,180
175.8,62.6,3808,7.3,7.2,6,267,210
176.4,62.2,4843,7.1,18.9,6,313,217
164.2,55.4,4165,7.6,24.2,6,259,220
165.0,61.6,4021,7.7,25.9,6,269,231
164.3,51.4,3102,7.4,23.1,6,239,227
165.2,85.2,4516,8.6,0.6,6,338,232
179.8,67.2,4335,7.8,16.7,6,296,220
171.4,76.0,4532,7.8,8.1,6,243,200
164.4,52.2,4581,9.4,6.9,6,262,220
159.9,50.9,4925,7.6,14.3,6,217,220
170.2,51.9,3554,7.9,25.7,6,255,210
178.1,59.5,4736,7.6,22.9,6,223,230
175.2,63.9,4462,7.5,18.5,6,244,237
166.9,58.8,4493,7.5,12.6,6,256,229
174.6,65.7,4907,7.0,16.2,6,234,240
163.3,52.2,4249,7.6,9.5,6,256,217
170.6,64.6,4028,7.8,12.3,6,249,230
166.9,53.7,4508,7.1,15.5,6,241,224
173.6,71.0,4935,7.3,11.6,6,230,244
174.8,68.1,3864,8.2,12.0,6,303,197
165.1,50.4,3226,6.9,13.6,6,219,236
170.2,55.9,4807,7.5,28.1,6,235,221
178.8,63.8,5103,7.2,31.5,6,219,231
169.9,72.1,4410,7.9,13.9,6,292,222
166.1,47.8,3524,7.4,26.1,6,248,229
166.4,57.9,2994,8.0,12.5,6,218,196
171.3,54.6,4141,7.9,10.5,4,252,225
170.6,70.0,4020,7.2,30.4,6,258,244
176.7,58.1,5334,7.3,20.4,6,217,225
177.6,53.8,4093,7.5,33.1,6,240,221
172.4,75.2,5676,8.8,13.2,6,244,202
172.5,56.0,3939,7.5,28.9,5,236,216
165.2,50.1,2812,7.9,10.2,6,226,200
179.0,61.8,4101,7.3,16.9,6,235,216
182.4,77.1,5646,7.5,12.2,3,248,228
166.2,50.2,5369,7.1,26.7,6,216,235
167.3,55.6,4885,8.3,22.9,6,273,234
154.3,58.6,3613,8.6,18.5,6,293,206
163.5,55.7,3642,7.5,34.9,6,252,238
164.8,65.7,3662,8.1,9.9,6,339,211
171.9,52.4,3420,7.0,18.7,6,223,222
168.0,53.3,4748,7.2,12.6,6,269,220
164.0,75.8,3296,7.7,10.4,6,257,210
168.6,71.8,5347,8.0,28.3,6,244,214
168.8,46.3,3024,7.7,15.7,6,286,223
